UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature_difference [K],Power [W],Wear_Torque_Interaction,Air temperature [K]_rolling_mean_3,Air temperature [K]_rolling_std_3,Process temperature [K]_rolling_mean_3,Process temperature [K]_rolling_std_3,Rotational speed [rpm]_rolling_mean_3,Rotational speed [rpm]_rolling_std_3,Torque [Nm]_rolling_mean_3,Torque [Nm]_rolling_std_3,Air temperature [K]_rolling_mean_5,Air temperature [K]_rolling_std_5,Process temperature [K]_rolling_mean_5,Process temperature [K]_rolling_std_5,Rotational speed [rpm]_rolling_mean_5,Rotational speed [rpm]_rolling_std_5,Torque [Nm]_rolling_mean_5,Torque [Nm]_rolling_std_5,Type_Ordinal
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,6951.59056015735,0.0,298.1333333333334,0.05773502691894699,308.59999999999997,0.0999999999999801,1485.6666666666667,72.29338374521788,46.166666666666664,3.302019584032375,298.15999999999997,0.05477225575051307,308.62,0.0836660026534045,1459.6,62.970628073729735,43.6,4.223150482755735,2
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,6826.722724152667,138.89999999999998,298.1333333333334,0.05773502691894699,308.59999999999997,0.0999999999999801,1485.6666666666667,72.29338374521788,46.166666666666664,3.302019584032375,298.15999999999997,0.05477225575051307,308.62,0.0836660026534045,1459.6,62.970628073729735,43.6,4.223150482755735,1
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999977,7749.387542560967,247.0,298.1333333333334,0.05773502691894699,308.59999999999997,0.0999999999999801,1485.6666666666667,72.29338374521788,46.166666666666664,3.302019584032375,298.15999999999997,0.05477225575051307,308.62,0.0836660026534045,1459.6,62.970628073729735,43.6,4.223150482755735,1
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,5927.504658915661,276.5,298.1666666666667,0.0577350269189675,308.59999999999997,0.0999999999999801,1446.3333333333333,46.457866215887876,45.06666666666666,5.0639246966491624,298.15999999999997,0.05477225575051307,308.62,0.0836660026534045,1459.6,62.970628073729735,43.6,4.223150482755735,1
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,5897.816608339238,360.0,298.1666666666667,0.0577350269189675,308.59999999999997,0.0999999999999801,1446.3333333333333,46.457866215887876,42.96666666666667,5.577036249956897,298.15999999999997,0.05477225575051307,308.62,0.0836660026534045,1459.6,62.970628073729735,43.6,4.223150482755735,1
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,6252.554778807085,460.9,298.1666666666667,0.0577350269189675,308.6333333333333,0.05773502691894699,1422.0,12.767145334803704,40.46666666666666,1.2662279942148096,298.15999999999997,0.05477225575051307,308.62,0.0836660026534045,1434.4,37.17929531338641,43.419999999999995,4.284506972803289,2
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,6917.703247400628,593.6,298.1333333333334,0.05773502691894699,308.6333333333333,0.05773502691894699,1463.6666666666667,82.1360659718575,41.43333333333334,1.2662279942148176,298.14,0.05477225575050139,308.6,0.07071067811863264,1464.4,62.46839200747842,42.64,3.9727824002832084,1
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,6428.264055922363,643.2,298.1,0.0,308.6,0.0,1503.3333333333333,69.58687615731378,41.5,1.153256259467057,298.14,0.05477225575050139,308.62,0.04472135955000755,1470.2,67.51073988633212,40.8,1.2708265027138925,1
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999977,4992.639989035923,514.8000000000001,298.1666666666667,0.11547005383791654,308.6333333333334,0.05773502691894699,1584.0,73.53230582539894,37.06666666666667,7.414400402819718,298.15999999999997,0.08944271909998187,308.64,0.05477225575056409,1517.0,105.62433431742892,38.62,5.697543330243311,2
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,5104.878622573175,588.0,298.3,0.19999999999997797,308.76666666666665,0.20816659994662534,1645.0,108.68302535354817,32.26666666666667,6.87701485626817,298.22,0.1788854381999675,308.7,0.1732050807569382,1583.6,123.23067799862174,36.22,7.278873539222953,2
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,4459.993426595286,573.5999999999999,298.4,0.09999999999998721,308.8666666666666,0.1527525231652449,1730.0,58.28378848359118,26.833333333333332,2.5579940057265502,298.28000000000003,0.1788854381999675,308.76,0.18165902124592503,1655.0,111.20026978384541,32.62,8.16468003047273,3
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,6601.4181710127195,1284.6999999999998,298.5,0.10000000000007248,309.0,0.1000000000001767,1648.6666666666667,196.50530103112573,32.06666666666666,10.790891220531002,298.38,0.19235384061674488,308.86,0.20736441353340643,1628.0,150.1932089010685,33.0,8.756426211645945,3
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,7165.22933257697,1737.4,298.53333333333336,0.1154700538380314,309.0333333333333,0.11547005383812166,1514.6666666666667,235.29626714704455,39.766666666666666,14.155328796369705,298.48,0.13038404810417126,308.96,0.16733200530707992,1590.4,197.78978740066435,35.17999999999999,11.818502443203203,2
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,5472.6544025534195,1110.0,298.6,0.0,309.1333333333334,0.05773502691949672,1501.3333333333333,212.6131071531889,41.800000000000004,10.769865365918001,298.54,0.08944271910019834,309.06,0.11401754251042022,1605.4,207.64946424202495,35.46,11.638857332229831,2
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,4176.852152702751,784.0,298.6,0.0,309.1666666666667,0.05773502691957466,1705.3333333333333,349.4457516315421,33.56666666666666,16.050025960518973,298.56000000000006,0.08944271910021263,309.1,0.12247448713966831,1664.2,283.4408227478886,33.78,13.450167285205048,1
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,7815.528539894543,2032.8,298.6,0.0,309.2,0.0,1773.0,247.95765767566064,32.666666666666664,14.584009508133656,298.6,0.0,309.16,0.054772255751766724,1616.2,278.78791222002434,38.67999999999999,13.413687039736686,1
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,6397.602111623327,2050.4,298.6,0.0,309.2,0.0,1629.3333333333333,369.8166212237268,38.199999999999996,16.1331955916985,298.6,0.0,309.17999999999995,0.04472135955158295,1593.8,301.7460853101495,39.14,13.691165034430048,2
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,6733.061375173645,2143.2000000000003,298.6333333333334,0.057735026919316194,309.2,0.0,1421.0,115.89219128138045,46.866666666666674,1.4189197769196444,298.62,0.044721359550515406,309.2,0.0,1608.0,288.12063445716626,38.040000000000006,12.67312116252346,2
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999977,7453.6380101520235,2725.0,298.7,0.10000000000029512,309.2,0.0,1342.3333333333333,58.654354768707535,48.9,4.875448697299614,298.66,0.08944271910028015,309.2,0.0,1520.8,303.0193063156208,42.94,13.496962621271491,3
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,5554.3358115467545,1787.5,298.8,0.1000000000004159,309.2333333333333,0.057735026919787984,1449.3333333333333,166.52126991268537,44.20000000000001,11.066616465749602,298.72,0.13038404810426416,309.21999999999997,0.04472135955173866,1440.2,143.84436033435583,45.519999999999996,8.056488068631378,2
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,6148.358622463024,2476.6000000000004,298.8666666666667,0.05773502691983719,309.26666666666665,0.05773502691985772,1437.6666666666667,171.79736125253328,43.23333333333333,11.00969269931425,298.78000000000003,0.13038404810428542,309.24,0.05477225575201515,1406.8,133.2992873199253,44.379999999999995,7.949654080524497,3
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,6802.595292573098,2822.3999999999996,298.8666666666666,0.05773502691983719,309.3,0.0,1485.6666666666667,132.16025625479628,40.0,6.579513659838388,298.82000000000005,0.08366600265380587,309.26000000000005,0.05477225575209558,1434.6,122.37156532462924,44.019999999999996,7.864286363046541,1
